# vertices: 51777, # edges: 107963
Number of sequences: 10000.
Loaded sequence batch successfully in 0.00683904s.
Sequence length: 88, alignment cost:0, forward num cells:83453, reverse num cells: 78819
Sequence length: 69, alignment cost:0, forward num cells:52106, reverse num cells: 66239
Sequence length: 70, alignment cost:0, forward num cells:66350, reverse num cells: 52009
Sequence length: 134, alignment cost:0, forward num cells:80774, reverse num cells: 87489
Sequence length: 132, alignment cost:0, forward num cells:87479, reverse num cells: 80937
Sequence length: 143, alignment cost:0, forward num cells:92470, reverse num cells: 87558
Sequence length: 142, alignment cost:0, forward num cells:87553, reverse num cells: 85396
Sequence length: 125, alignment cost:0, forward num cells:87440, reverse num cells: 82531
Sequence length: 126, alignment cost:0, forward num cells:89275, reverse num cells: 87445
Sequence length: 73, alignment cost:0, forward num cells:52036, reverse num cells: 68216
Sequence length: 71, alignment cost:0, forward num cells:66822, reverse num cells: 52518
Sequence length: 138, alignment cost:0, forward num cells:87518, reverse num cells: 95488
Sequence length: 139, alignment cost:0, forward num cells:90950, reverse num cells: 87522
Sequence length: 69, alignment cost:0, forward num cells:52106, reverse num cells: 66239
Sequence length: 70, alignment cost:0, forward num cells:66350, reverse num cells: 52009
Sequence length: 138, alignment cost:0, forward num cells:87518, reverse num cells: 95488
Sequence length: 139, alignment cost:0, forward num cells:90950, reverse num cells: 87522
Sequence length: 98, alignment cost:0, forward num cells:83459, reverse num cells: 87307
Sequence length: 98, alignment cost:0, forward num cells:87307, reverse num cells: 83459
Sequence length: 67, alignment cost:0, forward num cells:52151, reverse num cells: 65784
Sequence length: 67, alignment cost:0, forward num cells:51982, reverse num cells: 63028
Sequence length: 84, alignment cost:0, forward num cells:52039, reverse num cells: 69980
Sequence length: 84, alignment cost:0, forward num cells:69980, reverse num cells: 52039
Sequence length: 84, alignment cost:0, forward num cells:52039, reverse num cells: 69980
Sequence length: 84, alignment cost:0, forward num cells:69980, reverse num cells: 52039
Sequence length: 86, alignment cost:0, forward num cells:71307, reverse num cells: 52660
Sequence length: 86, alignment cost:0, forward num cells:52660, reverse num cells: 71307
Sequence length: 121, alignment cost:0, forward num cells:127983, reverse num cells: 140956
Sequence length: 123, alignment cost:0, forward num cells:124476, reverse num cells: 127989
Sequence length: 130, alignment cost:0, forward num cells:128028, reverse num cells: 120507
Sequence length: 132, alignment cost:0, forward num cells:114740, reverse num cells: 128038
Sequence length: 151, alignment cost:0, forward num cells:124438, reverse num cells: 128210
Sequence length: 151, alignment cost:0, forward num cells:128210, reverse num cells: 124438
Sequence length: 98, alignment cost:0, forward num cells:85100, reverse num cells: 81895
Sequence length: 97, alignment cost:0, forward num cells:93281, reverse num cells: 93939
Sequence length: 139, alignment cost:0, forward num cells:121514, reverse num cells: 128095
Sequence length: 139, alignment cost:0, forward num cells:128095, reverse num cells: 121520
Sequence length: 84, alignment cost:0, forward num cells:52039, reverse num cells: 69980
Sequence length: 84, alignment cost:0, forward num cells:69980, reverse num cells: 52039
Sequence length: 126, alignment cost:0, forward num cells:128008, reverse num cells: 116556
Sequence length: 127, alignment cost:0, forward num cells:114061, reverse num cells: 128013
Sequence length: 91, alignment cost:0, forward num cells:79285, reverse num cells: 52028
Sequence length: 90, alignment cost:0, forward num cells:73548, reverse num cells: 52808
Sequence length: 86, alignment cost:0, forward num cells:52660, reverse num cells: 71307
Sequence length: 86, alignment cost:0, forward num cells:71307, reverse num cells: 52660
Sequence length: 134, alignment cost:0, forward num cells:112695, reverse num cells: 128046
Sequence length: 133, alignment cost:0, forward num cells:128041, reverse num cells: 116172
Sequence length: 67, alignment cost:0, forward num cells:51982, reverse num cells: 63028
Sequence length: 67, alignment cost:0, forward num cells:52151, reverse num cells: 65784
Sequence length: 86, alignment cost:0, forward num cells:52660, reverse num cells: 71307
Sequence length: 86, alignment cost:0, forward num cells:71307, reverse num cells: 52660
Sequence length: 107, alignment cost:0, forward num cells:99734, reverse num cells: 94959
Sequence length: 108, alignment cost:0, forward num cells:121810, reverse num cells: 127914
Sequence length: 86, alignment cost:0, forward num cells:52660, reverse num cells: 71307
Sequence length: 86, alignment cost:0, forward num cells:71307, reverse num cells: 52660
Sequence length: 36, alignment cost:0, forward num cells:52101, reverse num cells: 53229
Sequence length: 36, alignment cost:0, forward num cells:53229, reverse num cells: 52101
Sequence length: 137, alignment cost:0, forward num cells:114754, reverse num cells: 128071
Sequence length: 136, alignment cost:3, forward num cells:495437, reverse num cells: 460428
Sequence length: 136, alignment cost:0, forward num cells:128067, reverse num cells: 118167
Sequence length: 137, alignment cost:0, forward num cells:114754, reverse num cells: 128071
Sequence length: 86, alignment cost:0, forward num cells:71307, reverse num cells: 52660
Sequence length: 86, alignment cost:0, forward num cells:52660, reverse num cells: 71307
Sequence length: 86, alignment cost:0, forward num cells:52660, reverse num cells: 71307
Sequence length: 86, alignment cost:0, forward num cells:71307, reverse num cells: 52660
Sequence length: 97, alignment cost:0, forward num cells:93281, reverse num cells: 93939
Sequence length: 101, alignment cost:0, forward num cells:86015, reverse num cells: 98185
Sequence length: 91, alignment cost:0, forward num cells:79285, reverse num cells: 52028
Sequence length: 90, alignment cost:0, forward num cells:73548, reverse num cells: 52808
Sequence length: 91, alignment cost:0, forward num cells:79285, reverse num cells: 52028
Sequence length: 90, alignment cost:0, forward num cells:73548, reverse num cells: 52808
Sequence length: 96, alignment cost:0, forward num cells:96350, reverse num cells: 84899
Sequence length: 96, alignment cost:0, forward num cells:84899, reverse num cells: 96350
Sequence length: 88, alignment cost:0, forward num cells:71949, reverse num cells: 52047
Sequence length: 88, alignment cost:0, forward num cells:52047, reverse num cells: 71949
Sequence length: 38, alignment cost:0, forward num cells:53254, reverse num cells: 52046
Sequence length: 39, alignment cost:0, forward num cells:52576, reverse num cells: 52028
Sequence length: 38, alignment cost:0, forward num cells:52046, reverse num cells: 53254
Sequence length: 38, alignment cost:0, forward num cells:53254, reverse num cells: 52046
Sequence length: 97, alignment cost:0, forward num cells:93281, reverse num cells: 93939
Sequence length: 100, alignment cost:0, forward num cells:90484, reverse num cells: 96865
Sequence length: 61, alignment cost:0, forward num cells:62071, reverse num cells: 52028
Sequence length: 60, alignment cost:0, forward num cells:52151, reverse num cells: 61167
Sequence length: 86, alignment cost:0, forward num cells:52660, reverse num cells: 71307
Sequence length: 86, alignment cost:0, forward num cells:71307, reverse num cells: 52660
Sequence length: 97, alignment cost:0, forward num cells:93281, reverse num cells: 93939
Sequence length: 98, alignment cost:0, forward num cells:85100, reverse num cells: 81895
Sequence length: 134, alignment cost:0, forward num cells:112695, reverse num cells: 128046
Sequence length: 133, alignment cost:0, forward num cells:128041, reverse num cells: 116172
Sequence length: 151, alignment cost:0, forward num cells:128210, reverse num cells: 124438
Sequence length: 151, alignment cost:0, forward num cells:124438, reverse num cells: 128210
Sequence length: 86, alignment cost:0, forward num cells:52660, reverse num cells: 71307
Sequence length: 86, alignment cost:0, forward num cells:71307, reverse num cells: 52660
Sequence length: 68, alignment cost:0, forward num cells:65895, reverse num cells: 52028
Sequence length: 67, alignment cost:0, forward num cells:52151, reverse num cells: 65784
Sequence length: 86, alignment cost:0, forward num cells:52660, reverse num cells: 71307
Sequence length: 86, alignment cost:0, forward num cells:71307, reverse num cells: 52660
Sequence length: 84, alignment cost:0, forward num cells:52039, reverse num cells: 69980
Sequence length: 84, alignment cost:0, forward num cells:69980, reverse num cells: 52039
Sequence length: 86, alignment cost:0, forward num cells:71307, reverse num cells: 52660
Sequence length: 86, alignment cost:0, forward num cells:52660, reverse num cells: 71307
Sequence length: 81, alignment cost:0, forward num cells:68204, reverse num cells: 52034
Sequence length: 81, alignment cost:0, forward num cells:52034, reverse num cells: 68204
Sequence length: 86, alignment cost:0, forward num cells:52660, reverse num cells: 71307
Sequence length: 86, alignment cost:0, forward num cells:71307, reverse num cells: 52660
Sequence length: 63, alignment cost:0, forward num cells:61705, reverse num cells: 52026
